Timestamp,What is your age group?,What is your level of familiarity with AI?,Do you use any AI-powered devices or applications daily?,In what areas do you use AI on a daily basis?,How much do you trust AI to make decisions in your daily life?,Do you think AI enhances your productivity in daily tasks?,Do you believe AI will play a significant role in shaping the future?,In which areas do you think AI will have the biggest impact in the future?,What benefits do you foresee with the advancement of AI? ,What concerns do you have regarding AI in the future?,Should there be regulations on the development and use of AI?,Do you think AI will improve or worsen human society in the long run?,What is your overall opinion on AI?,Would you be interested in learning more about AI and its applications in the future?
4/7/2025 22:14:15,18 - 24,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Somewhat distrust,No,Notsure,Entertainment,Greater accessibility for people with disabilities,Job loss and unemployment,"Yes, strict regulations",Improve,Very negative,No
4/7/2025 22:14:15,18 - 24,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,No,Notsure,Education,More efficient work processes,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Neither,Somewhat negative,Yes
4/7/2025 22:14:16,45 - 54,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Neutral,No,No,Education,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Unsure,Neutral,No
4/7/2025 22:14:17,Under 18,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely trust,No,No,Transportation,Increased convenience,AI becoming too autonomous,"No, AI should be developed freely",Worsen,Very negative,Yes
4/7/2025 22:14:18,18 - 24,Somewhat familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Completely distrust,Not sure,No,Transportation,Increased convenience,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Neither,Neutral,No
4/7/2025 22:14:19,25 - 34,Not familiar at all,No,Online shopping recommendations,Somewhat trust,No,No,Entertainment,Better education and learning opportunities,AI becoming too autonomous,"Yes, but with moderate regulations",Worsen,Somewhat negative,Yes
4/7/2025 22:14:19,45 - 54,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Neutral,No,No,Health care,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, strict regulations",Worsen,Very positive,No
4/7/2025 22:14:20,25 - 34,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,Yes,Notsure,Business and finance,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Unsure,Somewhat positive,Yes
4/7/2025 22:14:21,18 - 24,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Completely trust,No,No,Education,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Improve,Somewhat negative,Yes
4/7/2025 22:14:22,55 -64,Very familiar,No,"Email filtering (e.g., spam detection)",Somewhat trust,Not sure,Yes,Transportation,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Neither,Somewhat positive,No
4/7/2025 22:14:23,25 - 34,Somewhat familiar,No,Online shopping recommendations,Completely trust,Yes,No,Health care,Greater accessibility for people with disabilities,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Neither,Somewhat negative,No
4/7/2025 22:14:24,35 - 44,Not familiar at all,Yes,"Email filtering (e.g., spam detection)",Completely distrust,No,No,Education,Improved healthcare,Privacy issues,"Yes, strict regulations",Worsen,Neutral,Yes
4/7/2025 22:14:24,25 - 34,Not familiar at all,No,"Email filtering (e.g., spam detection)",Completely trust,Not sure,Yes,Entertainment,Greater accessibility for people with disabilities,AI becoming too autonomous,"No, AI should be developed freely",Unsure,Somewhat positive,No
4/7/2025 22:14:25,45 - 54,Not familiar at all,Yes,Online shopping recommendations,Completely trust,No,No,Entertainment,Greater accessibility for people with disabilities,"Ethical issues (e.g., AI decision-making)",Unsure,Neither,Very positive,No
4/7/2025 22:14:26,45 - 54,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Neutral,No,No,Business and finance,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Unsure,Somewhat positive,No
4/7/2025 22:14:26,18 - 24,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Completely distrust,No,No,Education,Greater accessibility for people with disabilities,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Neither,Very negative,No
4/7/2025 22:14:27,35 - 44,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,No,Transportation,More efficient work processes,AI becoming too autonomous,"No, AI should be developed freely",Neither,Very negative,Yes
4/7/2025 22:14:28,35 - 44,Not familiar at all,No,"Navigation apps (e.g., Google Maps, Waze)",Somewhat distrust,No,No,Health care,Better education and learning opportunities,Job loss and unemployment,"No, AI should be developed freely",Unsure,Very negative,Yes
4/7/2025 22:14:28,45 - 54,Not familiar at all,Yes,Online shopping recommendations,Somewhat distrust,Yes,Notsure,Education,Improved healthcare,Privacy issues,"Yes, strict regulations",Neither,Somewhat positive,Yes
4/7/2025 22:14:29,25 - 34,Somewhat familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,No,Yes,Entertainment,More efficient work processes,Privacy issues,Unsure,Unsure,Very positive,No
4/7/2025 22:14:30,Under 18,Very familiar,No,Online shopping recommendations,Somewhat distrust,Not sure,No,Entertainment,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Worsen,Somewhat positive,No
4/7/2025 22:14:31,18 - 24,Not familiar at all,No,Online shopping recommendations,Neutral,No,Notsure,Transportation,More efficient work processes,Job loss and unemployment,Unsure,Worsen,Neutral,No
4/7/2025 22:14:31,25 - 34,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,No,Notsure,Transportation,Better education and learning opportunities,Privacy issues,"No, AI should be developed freely",Neither,Neutral,Yes
4/7/2025 22:14:32,35 - 44,Very familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Neutral,Not sure,No,Entertainment,More efficient work processes,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Worsen,Neutral,Yes
4/7/2025 22:14:33,45 - 54,Very familiar,No,Online shopping recommendations,Somewhat distrust,No,No,Education,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Neither,Somewhat negative,No
4/7/2025 22:14:33,35 - 44,Not familiar at all,No,"Voice assistants (e.g., Siri, Alexa)",Somewhat distrust,Not sure,No,Entertainment,Improved healthcare,AI becoming too autonomous,Unsure,Improve,Somewhat positive,No
4/7/2025 22:14:34,45 - 54,Somewhat familiar,Yes,Online shopping recommendations,Somewhat distrust,Yes,Notsure,Entertainment,Increased convenience,Job loss and unemployment,"Yes, but with moderate regulations",Unsure,Somewhat negative,No
4/7/2025 22:14:35,18 - 24,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat distrust,Not sure,Notsure,Entertainment,More efficient work processes,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Worsen,Somewhat negative,No
4/7/2025 22:14:35,25 - 34,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Neutral,Not sure,Yes,Entertainment,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Worsen,Neutral,No
4/7/2025 22:14:36,18 - 24,Very familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Completely distrust,Not sure,Yes,Education,Improved healthcare,AI becoming too autonomous,"No, AI should be developed freely",Improve,Somewhat negative,No
4/7/2025 22:14:36,35 - 44,Very familiar,Yes,"Email filtering (e.g., spam detection)",Neutral,Yes,No,Entertainment,Better education and learning opportunities,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Unsure,Somewhat positive,Yes
4/7/2025 22:14:37,35 - 44,Very familiar,No,"Email filtering (e.g., spam detection)",Somewhat distrust,Not sure,Yes,Education,Improved healthcare,Job loss and unemployment,"Yes, but with moderate regulations",Worsen,Neutral,No
4/7/2025 22:14:38,25 - 34,Somewhat familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Completely trust,Yes,Yes,Entertainment,Greater accessibility for people with disabilities,AI becoming too autonomous,"Yes, but with moderate regulations",Neither,Very positive,Yes
4/7/2025 22:14:38,45 - 54,Somewhat familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Somewhat distrust,Yes,No,Business and finance,More efficient work processes,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Neither,Somewhat positive,No
4/7/2025 22:14:39,18 - 24,Very familiar,Yes,"Email filtering (e.g., spam detection)",Somewhat trust,No,Notsure,Health care,Greater accessibility for people with disabilities,Privacy issues,"Yes, but with moderate regulations",Neither,Somewhat positive,Yes
4/7/2025 22:14:40,25 - 34,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,No,No,Transportation,Increased convenience,Privacy issues,"No, AI should be developed freely",Unsure,Somewhat negative,Yes
4/7/2025 22:14:41,18 - 24,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,No,Notsure,Transportation,Improved healthcare,Privacy issues,"No, AI should be developed freely",Neither,Somewhat positive,Yes
4/7/2025 22:14:41,18 - 24,Not familiar at all,No,Online shopping recommendations,Completely distrust,Yes,No,Transportation,Greater accessibility for people with disabilities,Privacy issues,"Yes, strict regulations",Worsen,Neutral,No
4/7/2025 22:14:42,45 - 54,Not familiar at all,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat distrust,No,No,Business and finance,Better education and learning opportunities,"Security risks (e.g., AI hacking)",Unsure,Worsen,Neutral,No
4/7/2025 22:14:43,55 -64,Very familiar,No,"Email filtering (e.g., spam detection)",Neutral,No,Notsure,Business and finance,Improved healthcare,Privacy issues,"No, AI should be developed freely",Worsen,Somewhat positive,Yes
4/7/2025 22:14:43,18 - 24,Not familiar at all,Yes,Online shopping recommendations,Somewhat trust,Not sure,Yes,Business and finance,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Improve,Very negative,No
4/7/2025 22:14:44,45 - 54,Not familiar at all,Yes,"Email filtering (e.g., spam detection)",Completely trust,No,No,Entertainment,Better education and learning opportunities,Privacy issues,"Yes, but with moderate regulations",Worsen,Neutral,No
4/7/2025 22:14:44,35 - 44,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,Not sure,No,Transportation,Greater accessibility for people with disabilities,AI becoming too autonomous,"No, AI should be developed freely",Neither,Very negative,No
4/7/2025 22:14:45,45 - 54,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Neutral,Not sure,No,Education,Increased convenience,Privacy issues,"Yes, but with moderate regulations",Neither,Somewhat negative,Yes
4/7/2025 22:14:46,45 - 54,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat distrust,Not sure,Notsure,Education,Improved healthcare,AI becoming too autonomous,"Yes, but with moderate regulations",Worsen,Very negative,No
4/7/2025 22:14:47,Under 18,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Neutral,No,No,Transportation,More efficient work processes,"Ethical issues (e.g., AI decision-making)",Unsure,Worsen,Neutral,Yes
4/7/2025 22:14:47,35 - 44,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Neutral,No,No,Education,More efficient work processes,Job loss and unemployment,"No, AI should be developed freely",Neither,Somewhat positive,Yes
4/7/2025 22:14:48,45 - 54,Not familiar at all,Yes,"Navigation apps (e.g., Google Maps, Waze)",Completely distrust,Yes,Yes,Entertainment,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)",Unsure,Worsen,Somewhat negative,Yes
4/7/2025 22:14:49,Under 18,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,Yes,No,Education,Increased convenience,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Unsure,Neutral,Yes
4/7/2025 22:14:50,55 -64,Somewhat familiar,No,Online shopping recommendations,Neutral,No,No,Education,Improved healthcare,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Improve,Very positive,No
4/7/2025 22:14:50,45 - 54,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,No,Yes,Entertainment,Improved healthcare,Job loss and unemployment,"Yes, but with moderate regulations",Worsen,Neutral,Yes
4/7/2025 22:14:51,55 -64,Not familiar at all,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Yes,No,Health care,Greater accessibility for people with disabilities,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Worsen,Somewhat positive,Yes
4/7/2025 22:14:52,35 - 44,Not familiar at all,No,"Email filtering (e.g., spam detection)",Completely distrust,No,Yes,Entertainment,Better education and learning opportunities,Job loss and unemployment,"No, AI should be developed freely",Worsen,Very negative,Yes
4/7/2025 22:14:53,25 - 34,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Somewhat distrust,No,No,Entertainment,Greater accessibility for people with disabilities,AI becoming too autonomous,"No, AI should be developed freely",Unsure,Neutral,Yes
4/7/2025 22:14:53,45 - 54,Very familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,No,Notsure,Entertainment,Greater accessibility for people with disabilities,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Worsen,Very negative,Yes
4/7/2025 22:14:54,35 - 44,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Somewhat distrust,Yes,Notsure,Entertainment,Improved healthcare,AI becoming too autonomous,"Yes, but with moderate regulations",Improve,Somewhat positive,No
4/7/2025 22:14:54,45 - 54,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,No,No,Entertainment,Better education and learning opportunities,Privacy issues,"Yes, strict regulations",Neither,Neutral,No
4/7/2025 22:14:55,55 -64,Very familiar,No,Online shopping recommendations,Somewhat trust,Yes,Notsure,Health care,More efficient work processes,AI becoming too autonomous,"Yes, but with moderate regulations",Worsen,Neutral,Yes
4/7/2025 22:14:56,18 - 24,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,No,Yes,Business and finance,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)",Unsure,Unsure,Somewhat negative,Yes
4/7/2025 22:14:57,25 - 34,Somewhat familiar,No,Online shopping recommendations,Neutral,No,Notsure,Education,More efficient work processes,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Improve,Somewhat positive,No
4/7/2025 22:14:57,18 - 24,Not familiar at all,Yes,Online shopping recommendations,Somewhat distrust,No,No,Transportation,Better education and learning opportunities,AI becoming too autonomous,"No, AI should be developed freely",Improve,Somewhat negative,No
4/7/2025 22:14:58,55 -64,Not familiar at all,Yes,"Email filtering (e.g., spam detection)",Somewhat trust,Not sure,Notsure,Business and finance,Greater accessibility for people with disabilities,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Neither,Very positive,Yes
4/7/2025 22:14:58,Under 18,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,No,No,Education,Improved healthcare,Privacy issues,"Yes, strict regulations",Worsen,Neutral,No
4/7/2025 22:14:59,18 - 24,Not familiar at all,No,Online shopping recommendations,Somewhat trust,Not sure,Notsure,Education,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Improve,Very positive,No
4/7/2025 22:15:00,55 -64,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat distrust,No,No,Education,Increased convenience,Job loss and unemployment,"Yes, but with moderate regulations",Neither,Very negative,Yes
4/7/2025 22:15:00,35 - 44,Not familiar at all,Yes,Online shopping recommendations,Completely trust,No,Yes,Education,Improved healthcare,AI becoming too autonomous,"Yes, but with moderate regulations",Worsen,Very positive,No
4/7/2025 22:15:01,45 - 54,Very familiar,No,Online shopping recommendations,Neutral,Yes,No,Entertainment,Improved healthcare,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Neither,Somewhat positive,Yes
4/7/2025 22:15:02,45 - 54,Very familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,Not sure,Notsure,Health care,Improved healthcare,Privacy issues,"Yes, strict regulations",Neither,Somewhat negative,Yes
4/7/2025 22:15:03,Under 18,Very familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,No,Notsure,Education,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Worsen,Very negative,Yes
4/7/2025 22:15:03,Under 18,Very familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Completely distrust,No,Notsure,Education,More efficient work processes,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Improve,Somewhat positive,No
4/7/2025 22:15:04,Under 18,Very familiar,No,Online shopping recommendations,Somewhat trust,No,Yes,Education,More efficient work processes,Privacy issues,"Yes, but with moderate regulations",Improve,Neutral,No
4/7/2025 22:15:04,35 - 44,Very familiar,No,"Email filtering (e.g., spam detection)",Somewhat trust,Not sure,No,Education,Increased convenience,Job loss and unemployment,"Yes, but with moderate regulations",Worsen,Very positive,Yes
4/7/2025 22:15:05,35 - 44,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Completely trust,Yes,Notsure,Entertainment,Better education and learning opportunities,"Security risks (e.g., AI hacking)",Unsure,Improve,Very negative,Yes
4/7/2025 22:15:06,25 - 34,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,No,Yes,Business and finance,Increased convenience,"Ethical issues (e.g., AI decision-making)",Unsure,Improve,Neutral,No
4/7/2025 22:15:06,55 -64,Not familiar at all,Yes,"Email filtering (e.g., spam detection)",Neutral,No,Yes,Entertainment,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)",Unsure,Worsen,Neutral,Yes
4/7/2025 22:15:07,Under 18,Not familiar at all,Yes,"Email filtering (e.g., spam detection)",Somewhat distrust,Not sure,No,Transportation,Better education and learning opportunities,AI becoming too autonomous,"No, AI should be developed freely",Neither,Very negative,Yes
4/7/2025 22:15:08,25 - 34,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Somewhat trust,Yes,Yes,Business and finance,Increased convenience,Privacy issues,"Yes, but with moderate regulations",Worsen,Somewhat negative,Yes
4/7/2025 22:15:09,35 - 44,Not familiar at all,Yes,Online shopping recommendations,Completely trust,Not sure,No,Entertainment,More efficient work processes,Privacy issues,"No, AI should be developed freely",Worsen,Neutral,No
4/7/2025 22:15:09,25 - 34,Very familiar,Yes,Online shopping recommendations,Somewhat trust,Yes,Notsure,Health care,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Worsen,Somewhat positive,Yes
4/7/2025 22:15:10,Under 18,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,Not sure,Notsure,Health care,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Neither,Somewhat negative,Yes
4/7/2025 22:15:11,45 - 54,Not familiar at all,Yes,Online shopping recommendations,Neutral,No,Yes,Education,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Worsen,Somewhat positive,No
4/7/2025 22:15:12,45 - 54,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,No,Transportation,Improved healthcare,Privacy issues,"Yes, but with moderate regulations",Unsure,Somewhat positive,No
4/7/2025 22:15:12,25 - 34,Very familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Somewhat distrust,Not sure,Yes,Transportation,Greater accessibility for people with disabilities,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Worsen,Somewhat positive,Yes
4/7/2025 22:15:13,35 - 44,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,No,Transportation,More efficient work processes,Privacy issues,"Yes, but with moderate regulations",Neither,Somewhat negative,Yes
4/7/2025 22:15:14,18 - 24,Not familiar at all,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Not sure,Yes,Transportation,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Unsure,Somewhat positive,Yes
4/7/2025 22:15:14,25 - 34,Very familiar,Yes,"Email filtering (e.g., spam detection)",Somewhat distrust,No,No,Business and finance,Increased convenience,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Neither,Somewhat negative,No
4/7/2025 22:15:15,45 - 54,Not familiar at all,No,Online shopping recommendations,Somewhat trust,No,No,Health care,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Unsure,Somewhat negative,No
4/7/2025 22:15:16,18 - 24,Not familiar at all,No,Online shopping recommendations,Completely distrust,No,Yes,Education,Improved healthcare,Job loss and unemployment,"Yes, strict regulations",Unsure,Very negative,No
4/7/2025 22:15:16,25 - 34,Very familiar,Yes,Online shopping recommendations,Neutral,Yes,Yes,Education,Better education and learning opportunities,Privacy issues,Unsure,Worsen,Very positive,No
4/7/2025 22:15:17,45 - 54,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,Yes,Notsure,Education,More efficient work processes,Privacy issues,Unsure,Worsen,Very negative,Yes
4/7/2025 22:15:18,25 - 34,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,No,Yes,Business and finance,More efficient work processes,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Improve,Very positive,Yes
4/7/2025 22:15:18,25 - 34,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Completely distrust,Yes,No,Transportation,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, strict regulations",Neither,Somewhat positive,Yes
4/7/2025 22:15:19,55 -64,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,No,No,Education,Increased convenience,AI becoming too autonomous,"Yes, but with moderate regulations",Neither,Somewhat positive,Yes
4/7/2025 22:15:20,55 -64,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,Notsure,Transportation,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, strict regulations",Worsen,Somewhat negative,No
4/7/2025 22:15:20,45 - 54,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,No,Education,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Neither,Very negative,Yes
4/7/2025 22:15:21,18 - 24,Very familiar,Yes,Online shopping recommendations,Somewhat distrust,Yes,No,Education,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Worsen,Very positive,Yes
4/7/2025 22:15:22,25 - 34,Very familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Neutral,Not sure,No,Business and finance,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Improve,Neutral,No
4/7/2025 22:15:22,25 - 34,Somewhat familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Neutral,No,Notsure,Entertainment,More efficient work processes,Privacy issues,"No, AI should be developed freely",Unsure,Very negative,Yes
4/7/2025 22:15:23,45 - 54,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Completely trust,No,No,Education,Greater accessibility for people with disabilities,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Worsen,Neutral,No
4/7/2025 22:15:24,55 -64,Somewhat familiar,No,Online shopping recommendations,Somewhat trust,Yes,Notsure,Education,More efficient work processes,"Security risks (e.g., AI hacking)",Unsure,Worsen,Somewhat negative,Yes
4/7/2025 22:15:24,45 - 54,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Somewhat distrust,No,No,Education,Increased convenience,Privacy issues,"Yes, strict regulations",Improve,Neutral,No
4/7/2025 22:15:25,18 - 24,Very familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat distrust,No,Yes,Education,Improved healthcare,Job loss and unemployment,"No, AI should be developed freely",Worsen,Very negative,Yes
4/7/2025 22:15:26,45 - 54,Very familiar,No,Online shopping recommendations,Somewhat distrust,Yes,No,Transportation,Better education and learning opportunities,AI becoming too autonomous,"Yes, but with moderate regulations",Worsen,Somewhat positive,Yes
4/7/2025 22:15:26,25 - 34,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,No,No,Entertainment,More efficient work processes,Privacy issues,"No, AI should be developed freely",Worsen,Very negative,Yes
4/7/2025 22:15:27,18 - 24,Very familiar,No,Online shopping recommendations,Completely distrust,No,No,Education,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Improve,Very negative,Yes
4/7/2025 22:15:28,18 - 24,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Neutral,No,No,Transportation,Increased convenience,Privacy issues,"No, AI should be developed freely",Neither,Somewhat negative,Yes
4/7/2025 22:15:29,35 - 44,Very familiar,Yes,Online shopping recommendations,Neutral,No,Yes,Education,Better education and learning opportunities,AI becoming too autonomous,"Yes, but with moderate regulations",Worsen,Somewhat positive,No
4/7/2025 22:15:29,Under 18,Somewhat familiar,No,Online shopping recommendations,Completely trust,Yes,No,Education,Improved healthcare,Job loss and unemployment,"No, AI should be developed freely",Improve,Neutral,No
4/7/2025 22:15:30,35 - 44,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Neutral,Not sure,Notsure,Transportation,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Neither,Somewhat negative,Yes
4/7/2025 22:15:31,25 - 34,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,No,Business and finance,More efficient work processes,Privacy issues,"No, AI should be developed freely",Worsen,Somewhat positive,No
4/7/2025 22:15:31,35 - 44,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,No,Yes,Entertainment,More efficient work processes,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Worsen,Very negative,Yes
4/7/2025 22:15:32,45 - 54,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Neutral,Not sure,Notsure,Entertainment,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)",Unsure,Improve,Somewhat positive,Yes
4/7/2025 22:15:33,45 - 54,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,Notsure,Transportation,Better education and learning opportunities,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Worsen,Very negative,Yes
4/7/2025 22:15:33,18 - 24,Very familiar,Yes,"Email filtering (e.g., spam detection)",Somewhat trust,No,No,Education,Improved healthcare,Privacy issues,Unsure,Worsen,Neutral,No
4/7/2025 22:15:34,35 - 44,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Somewhat trust,Yes,No,Transportation,Better education and learning opportunities,Job loss and unemployment,Unsure,Improve,Neutral,Yes
4/7/2025 22:15:35,25 - 34,Very familiar,No,"Email filtering (e.g., spam detection)",Somewhat distrust,Not sure,No,Transportation,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Neither,Somewhat negative,Yes
4/7/2025 22:15:35,35 - 44,Somewhat familiar,No,Online shopping recommendations,Somewhat distrust,No,No,Education,More efficient work processes,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Worsen,Somewhat negative,Yes
4/7/2025 22:15:36,25 - 34,Somewhat familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Neutral,Yes,No,Transportation,Greater accessibility for people with disabilities,Privacy issues,"Yes, strict regulations",Improve,Neutral,No
4/7/2025 22:15:37,18 - 24,Very familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,No,Notsure,Transportation,More efficient work processes,Job loss and unemployment,"No, AI should be developed freely",Neither,Very positive,Yes
